table_name,field_count_mosaic,raw_field_rows_mosaic,present_mosaic,field_count_systemc,raw_field_rows_systemc,present_systemc,field_count_eclipse,raw_field_rows_eclipse,present_eclipse,present_in_sources,present_in_all_3,field_count_same_where_present
ssd_address,7,7,True,7,14,True,7,14,True,3,True,True
ssd_assessment_factors,3,3,True,3,6,True,3,3,True,3,True,True
ssd_care_leavers,12,12,True,12,24,True,12,12,True,3,True,True
ssd_cin_assessments,10,10,True,10,20,True,10,10,True,3,True,True
ssd_cin_episodes,12,12,True,12,24,True,12,12,True,3,True,True
ssd_cin_plans,7,7,True,7,14,True,7,7,True,3,True,True
ssd_cin_visits,6,6,True,6,12,True,6,6,True,3,True,True
ssd_cla_care_plan,5,5,True,5,10,True,5,5,True,3,True,True
ssd_cla_convictions,3,3,True,4,8,True,4,4,True,3,True,False
ssd_cla_episodes,12,12,True,12,24,True,12,12,True,3,True,True
ssd_cla_health,5,5,True,5,10,True,5,5,True,3,True,True
ssd_cla_immunisations,2,2,True,3,6,True,3,3,True,3,True,False
ssd_cla_placement,10,10,True,11,22,True,11,11,True,3,True,False
ssd_cla_previous_permanence,5,5,True,5,10,True,5,5,True,3,True,True
ssd_cla_reviews,7,7,True,6,12,True,6,6,True,3,True,False
ssd_cla_substance_misuse,5,5,True,5,10,True,5,5,True,3,True,True
ssd_cla_visits,6,6,True,6,12,True,6,6,True,3,True,True
ssd_cohort,,,False,11,22,True,,,False,1,False,True
ssd_contacts,5,5,True,6,12,True,6,6,True,3,True,False
ssd_cp_plans,8,8,True,9,18,True,9,9,True,3,True,False
ssd_cp_reviews,18,18,True,9,18,True,9,9,True,3,True,False
ssd_cp_visits,6,7,True,7,14,True,7,7,True,3,True,False
ssd_department,4,4,True,4,8,True,4,4,True,3,True,True
ssd_dim_date,,,False,23,46,True,,,False,1,False,True
ssd_disability,3,3,True,3,6,True,3,6,True,3,True,True
ssd_early_help_episodes,8,8,True,8,16,True,8,8,True,3,True,True
ssd_ehcp_active_plans,3,3,True,3,6,True,3,3,True,3,True,True
ssd_ehcp_assessment,5,5,True,5,10,True,5,5,True,3,True,True
ssd_ehcp_named_plan,5,5,True,5,10,True,5,5,True,3,True,True
ssd_ehcp_requests,5,5,True,5,10,True,5,5,True,3,True,True
ssd_family,,,False,3,6,True,3,3,True,2,False,True
ssd_immigration_status,5,5,True,5,10,True,5,5,True,3,True,True
ssd_initial_cp_conference,13,13,True,13,26,True,13,13,True,3,True,True
ssd_involvements,8,8,True,9,18,True,9,9,True,3,True,False
ssd_legal_status,5,5,True,5,10,True,5,5,True,3,True,True
ssd_linked_identifiers,6,6,True,6,12,True,6,6,True,3,True,True
ssd_missing,7,7,True,7,14,True,7,7,True,3,True,True
ssd_mother,4,4,True,4,8,True,4,4,True,3,True,True
ssd_permanence,23,23,True,23,46,True,23,23,True,3,True,True
ssd_person,16,16,True,16,32,True,16,48,True,3,True,True
ssd_pre_cla_care_plan,,,False,5,10,True,,,False,1,False,True
ssd_pre_proceedings,24,24,True,24,48,True,24,24,True,3,True,True
ssd_professionals,8,8,True,9,18,True,9,9,True,3,True,False
ssd_s251_finance,6,6,True,6,12,True,6,6,True,3,True,True
ssd_s47_enquiry,9,9,True,9,18,True,9,9,True,3,True,True
ssd_sdq_scores,5,5,True,5,10,True,5,5,True,3,True,True
ssd_sen_need,4,4,True,4,8,True,4,4,True,3,True,True
ssd_send,5,5,True,5,10,True,5,5,True,3,True,True
ssd_voice_of_child,7,7,True,7,14,True,7,7,True,3,True,True
